variant,model,roc_mean,roc_std,ap_mean,ap_std
baseline,Logistic,0.644452380952381,0.038100490709310424,0.4541761208390625,0.04507364686237013
baseline,XGBoost,0.6152142857142857,0.03317602336141416,0.407412480286358,0.012859852698022782
winsorize_1_99,Logistic,0.6445952380952382,0.03926056915340675,0.44951793940648904,0.0441708623622098
winsorize_1_99,XGBoost,0.6267380952380952,0.02762485571113862,0.43717175309440676,0.03103507947762021
log1p,Logistic,0.6163809523809524,0.054712016613398216,0.421472435984516,0.06405904974598711
log1p,XGBoost,0.6085238095238095,0.028749110210030477,0.40860908353003794,0.04740897348861898
